timestamps,pupil_size,pupil_x,pupil_y,message
2017-06-25 11:31:16.372,16.6143,950.5193,560.589,
2017-06-25 11:31:16.389,16.71395,948.9284,559.1638,
2017-06-25 11:31:16.405,16.4775,947.4022,556.6416,
2017-06-25 11:31:16.422,16.72705,946.6388,554.6578,
2017-06-25 11:31:16.439,16.3186,945.7616,555.0215,
2017-06-25 11:31:16.455,16.04435,944.2014,552.5219,
2017-06-25 11:31:16.472,16.22305,942.7068,551.2268,
2017-06-25 11:31:16.488,16.3166,941.3987,548.6582,
2017-06-25 11:31:16.505,15.9222,939.5231,547.5908,
2017-06-25 11:31:16.522,15.93585,938.1292,545.7073,
2017-06-25 11:31:16.538,15.72805,937.0922,545.0484,
2017-06-25 11:31:16.555,16.91985,936.1349,544.1251,
2017-06-25 11:31:16.572,16.43815,934.0643,545.7816,
2017-06-25 11:31:16.589,16.2579,934.0461,546.8162,
2017-06-25 11:31:16.605,16.30135,931.4671,544.7596,
2017-06-25 11:31:16.621,15.99485,930.1074,543.0811,
2017-06-25 11:31:16.638,16.5684,928.1998,542.6712,
2017-06-25 11:31:16.655,16.32545,927.1807,539.9407,
2017-06-25 11:31:16.672,16.7326,927.1242,539.1782,
2017-06-25 11:31:16.688,16.4972,925.5079,540.5125,
2017-06-25 11:31:16.705,16.81115,925.4628,539.5081,
2017-06-25 11:31:16.722,16.55625,924.799,539.7435,
2017-06-25 11:31:16.738,16.9178,922.8157,540.2598,
2017-06-25 11:31:16.755,17.01265,918.6026,538.1381,
2017-06-25 11:31:16.771,16.86985,817.8611,387.674,
2017-06-25 11:31:16.788,16.7086,832.7787,444.3553,
2017-06-25 11:31:16.805,16.9047,849.6589,448.1825,
2017-06-25 11:31:16.821,16.9816,845.6515,438.8241,
2017-06-25 11:31:16.838,17.13375,842.0307,435.6996,
2017-06-25 11:31:16.855,17.26255,845.1642,436.9704,
2017-06-25 11:31:16.871,17.057,842.4888,439.4062,
